Ref,Farnell,Qty,Description
"P18,P19,P20,P22,P23,K1,K2,K3,K4,K5,K6",1097954,4,pin header 36 way
"P12,P13,P14,P15,P16,P17",1593463,6,8 way pcb socket
"Q3,Q4",1611371,2,2n2222 npn transistor
J1,1626770,1,USB type B
"K7,K8",1629044,2,Relay
"D1,D2",1651089,2,1N4001 diode
IC2,1715481,1,ATMEGA1284P
"C1,C3",1827810,2,22pF cap
"C15,C16,C17",1870961,3,100uF cap
C7,1973508,1,4.7uF cap
"P2,P3,P4,P5,P21,P24,P25,P26,P27,P28,P29,P30",2008004,12,screw terminal block 2way
"P6,P7,P8",2008006,3,screw terminal block 4way
X1,2063950,1,16Mhz Crystal
U2,2081321,1,FTDI Usb2 usart 16ssop
"R9,R10,R11",2329853,3,100k res
"R1, R3,R5,R6,R7,R8,R15,R19,R20",2329855,9,10k res
"R16,R17,R18",2330042,3,1k5 res
"C4,C12,C14",8766940,3,10uF cap
"R2,R4",9342419,2,10k res
R14,9343253,1,4k7 res
"C9,C10",9411690,2,47pF cap
"C2,C5,C6,C8,C11,C13",9411887,6,0.1uF cap
"R12,R13",9475915,2,2.7R res
P1,9733884,1,ISP socket
U1,9756078,1,Vreg 5 volt
"Q1,Q2",9803068,2,Mosfet
